epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,4592.71,2.03936,1.25365,1.21168,0.75426,0.6809,0.7251,0.26185,2.18259,1.23063,1.33783,0.0012476,0.0012476,0.0012476
116,4635.55,2.02685,1.25892,1.20286,0.86951,0.75885,0.83263,0.34591,1.98826,1.08207,1.25568,0.001241,0.001241,0.001241
117,4672.13,2.04706,1.26505,1.20843,0.85329,0.7675,0.83557,0.34589,1.97071,1.10571,1.24734,0.0012344,0.0012344,0.0012344
118,4709.97,2.00103,1.24139,1.19046,0.80583,0.74338,0.78487,0.2971,2.13397,1.15129,1.31958,0.0012278,0.0012278,0.0012278
119,4743.54,2.03223,1.27541,1.20842,0.84704,0.7497,0.81372,0.31119,2.05905,1.12118,1.2884,0.0012212,0.0012212,0.0012212
120,4780.21,2.02429,1.24233,1.19593,0.83762,0.72954,0.81106,0.33202,1.98647,1.16608,1.25644,0.0012146,0.0012146,0.0012146
121,4816.81,2.0406,1.2924,1.20538,0.82481,0.70937,0.77447,0.30187,2.09203,1.17083,1.29631,0.001208,0.001208,0.001208
122,4859.32,2.01337,1.24938,1.19058,0.80961,0.70107,0.78203,0.29978,2.12135,1.15785,1.31368,0.0012014,0.0012014,0.0012014
123,4892.32,2.04196,1.27492,1.20606,0.85112,0.76038,0.82858,0.3332,2.04159,1.08913,1.28661,0.0011948,0.0011948,0.0011948
124,4932.24,1.99409,1.22849,1.18907,0.84871,0.75198,0.82784,0.33554,2.01537,1.15284,1.28211,0.0011882,0.0011882,0.0011882
125,4969.65,2.02734,1.24332,1.19914,0.82264,0.74377,0.80656,0.31177,2.08001,1.14708,1.30425,0.0011816,0.0011816,0.0011816
126,5012.1,1.99818,1.21886,1.19855,0.85899,0.7841,0.83973,0.34916,1.99116,1.08548,1.26251,0.001175,0.001175,0.001175
127,5041.63,1.99142,1.21547,1.19327,0.84334,0.77908,0.84646,0.33705,2.02612,1.06482,1.27566,0.0011684,0.0011684,0.0011684
128,5087.45,2.01699,1.24274,1.19245,0.85216,0.75212,0.81724,0.33079,2.01234,1.13141,1.26653,0.0011618,0.0011618,0.0011618
129,5120.11,2.02447,1.25603,1.18874,0.85129,0.73903,0.8123,0.32388,2.07765,1.10904,1.30702,0.0011552,0.0011552,0.0011552
130,5162.26,2.01079,1.24519,1.20358,0.79929,0.71334,0.77378,0.29452,2.11674,1.15061,1.29247,0.0011486,0.0011486,0.0011486
