epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,38449.6,1.38732,0.72901,1.71036,0.96612,0.96599,0.98634,0.55706,1.57804,0.55688,2.05171,0.004588,0.004588,0.004588
166,38683,1.38597,0.72963,1.69603,0.96572,0.96624,0.98596,0.55702,1.57793,0.55642,2.05124,0.004555,0.004555,0.004555
167,38912.1,1.37876,0.7215,1.69688,0.9655,0.96583,0.98488,0.55696,1.57779,0.55428,2.05118,0.004522,0.004522,0.004522
168,39147.1,1.38179,0.72112,1.69408,0.96648,0.9657,0.98495,0.55679,1.57758,0.553,2.05057,0.004489,0.004489,0.004489
169,39377.6,1.37676,0.72016,1.69161,0.96508,0.96565,0.98493,0.55683,1.57755,0.55149,2.05035,0.004456,0.004456,0.004456
170,39607.4,1.37627,0.7205,1.69274,0.96664,0.96464,0.98516,0.55675,1.57841,0.54942,2.05165,0.004423,0.004423,0.004423
171,39842.6,1.37028,0.72298,1.68881,0.96671,0.96504,0.98515,0.55658,1.57872,0.54833,2.05282,0.00439,0.00439,0.00439
172,40072.9,1.36845,0.72251,1.69051,0.96591,0.96577,0.98454,0.55685,1.57872,0.54873,2.05294,0.004357,0.004357,0.004357
173,40308,1.37345,0.72283,1.6917,0.96569,0.96541,0.98438,0.55668,1.57868,0.54853,2.05387,0.004324,0.004324,0.004324
174,40542.3,1.367,0.7188,1.68781,0.96632,0.9656,0.98452,0.55698,1.57804,0.54819,2.05418,0.004291,0.004291,0.004291
175,40772,1.3519,0.71024,1.67808,0.9659,0.96539,0.98459,0.55727,1.57727,0.54693,2.05437,0.004258,0.004258,0.004258
176,41005.2,1.36103,0.7135,1.67883,0.96654,0.96604,0.9846,0.5572,1.57671,0.54514,2.05461,0.004225,0.004225,0.004225
177,41239.4,1.35603,0.71404,1.67183,0.9669,0.96655,0.98455,0.55674,1.57653,0.54483,2.05437,0.004192,0.004192,0.004192
178,41470.2,1.3642,0.7207,1.67567,0.96696,0.96636,0.98469,0.55676,1.57645,0.54543,2.05414,0.004159,0.004159,0.004159
179,41705.1,1.35015,0.70895,1.66566,0.9676,0.96549,0.98492,0.55664,1.57695,0.5471,2.05443,0.004126,0.004126,0.004126
180,41935.5,1.35932,0.71115,1.67246,0.9672,0.96506,0.98485,0.55645,1.57712,0.54714,2.0544,0.004093,0.004093,0.004093
181,42170.1,1.34848,0.71085,1.66326,0.96462,0.96804,0.98496,0.55633,1.57739,0.54529,2.05378,0.00406,0.00406,0.00406
182,42405,1.35078,0.71055,1.66888,0.96438,0.96826,0.98498,0.55605,1.57788,0.54731,2.05454,0.004027,0.004027,0.004027
183,42643.4,1.34702,0.70368,1.65796,0.96416,0.96932,0.985,0.55616,1.57824,0.54688,2.05515,0.003994,0.003994,0.003994
184,42873.2,1.33888,0.70087,1.65519,0.96495,0.96764,0.98422,0.55643,1.57886,0.54597,2.05676,0.003961,0.003961,0.003961
185,43103.1,1.34217,0.69811,1.6563,0.96529,0.96576,0.98413,0.5562,1.57838,0.54487,2.05733,0.003928,0.003928,0.003928
186,43337.3,1.33576,0.70239,1.65312,0.96612,0.9659,0.98403,0.5564,1.57781,0.54484,2.05762,0.003895,0.003895,0.003895
